"","a_suivi","performer_travail_projet_1","motivation_certificat_1","trouver_emploi_1","mooc_inclu_etude_1","edt_chargee_1","plateformes_connues","aide_financiere_1","prix_1","outils_exercices_1","sciences_donnees_1","informatique_1","sciences_physiques_1","business_1","arts_1","langues_1","sciences_sociales_1","sexe","pays","age","est_etudiant","niveau_actuel","formation","background"
"1","Jamais","Neutre","D'accord","Tout à fait en accord","Oui","Non","OpenClassrooms","Non",NA,"Oui","Interessant","Interessant","Pas très interessant","Interessant","Pas très interessant","Interessant","Pas très interessant","Homme","Côte d'ivoire",20,"Oui","BAC +5","FIG","Prépa"
"2","Jamais","D'accord","D'accord","Désaccord","Oui","Non","OpenClassrooms","Non",40,"Oui","Pas très interessant","Interessant","Interessant","Interessant","Pas très interessant","Interessant","Interessant","Homme","France",23,"Oui","BAC +5","FIG","Prépa"
"3","Jamais","Neutre","Neutre","Neutre","Oui","Non","Coursera","Non",NA,"Oui","Pas très interessant","Interessant","Interessant","Interessant","Pas très interessant","Interessant","Pas très interessant","Homme","Tchad",32,"Oui","BAC +6 ou plus","Master spécialisé","Université"
"4","Jamais","Neutre","D'accord","Désaccord","Oui","Oui","Coursera, Edx, Udemy, Datacamp, Udacity","Oui",50,"Oui","Interessant","Pas très interessant","Pas très interessant","Interessant","Inintéressant","Interessant","Inintéressant","Homme","Autre",28,"Oui","BAC +5","Master of science","Université"
"5","Jamais","Neutre","D'accord","Désaccord","Oui","Oui","Je ne sais pas","Non",0,"Oui","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Femme","France",21,"Oui","BAC +3","FIG","Université"
"6","Jamais","Tout à fait en accord","D'accord","Neutre","Oui","Non","Edx, Fun, OpenClassrooms","Non",NA,"Oui","Interessant","Interessant","Interessant","Interessant","Pas très interessant","Interessant","Interessant","Homme","France",20,"Oui","BAC +2","FIP","DUT"
"7","Jamais","D'accord","Tout à fait en accord","D'accord","Non","Oui","Coursera, Edx, Fun, OpenClassrooms","Oui",20,"Oui","Interessant","Interessant","Interessant","Inintéressant","Interessant","Interessant","Pas très interessant","Homme","France",22,"Oui","BAC +4","FIG","Université"
"8","Jamais","Tout à fait en accord","D'accord","Neutre","Oui","Oui","Fun, OpenClassrooms","Non",20,"Oui","Pas très interessant","Pas très interessant","Interessant","Pas très interessant","Inintéressant","Pas très interessant","Pas très interessant","Homme","France",20,"Oui","BAC +3","FIP","DUT"
"9","Jamais","Tout à fait en accord","Tout à fait en accord","Tout à fait en accord","Oui","Non","OpenClassrooms","Oui",5,"Oui","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Homme","Côte d'ivoire",35,"Oui","BAC +5","Master spécialisé","Université"
"10","Jamais","D'accord","D'accord","Neutre","Non","Oui","Coursera, Edx","Oui",5,"Oui","Interessant","Interessant","Inintéressant","Pas très interessant","Interessant","Interessant","Interessant","Homme","Maroc",21,"Oui","BAC +4","FIG","Prépa"
"11","Jamais","Tout à fait en accord","Tout à fait en accord","D'accord","Non","Oui","Coursera, Edx","Oui",0,"Oui","Interessant","Interessant","Pas très interessant","Pas très interessant","Pas très interessant","Pas très interessant","Pas très interessant","Femme","Maroc",22,"Oui","BAC +5","Master of science","Prépa"
"12","Jamais","D'accord","Désaccord","D'accord","Oui","Oui","Je ne sais pas","Oui",0,"Oui","Inintéressant","Pas très interessant","Interessant","Interessant","Pas très interessant","Interessant","Interessant","Femme","France",20,"Oui","BAC +3","FIG","Prépa"
"13","Jamais","Neutre","D'accord","D'accord","Non","Oui","OpenClassrooms","Non",100,"Oui","Pas très interessant","Pas très interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Femme","France",20,"Oui","BAC +2","Ecole d'ingé","Prépa"
"14","Jamais","D'accord","D'accord","Neutre","Oui","Oui","Je ne sais pas","Oui",10,"Oui","Pas très interessant","Interessant","Interessant","Pas très interessant","Interessant","Interessant","Interessant","Femme","France",21,"Oui","BAC +3","École d'ingénieur","Prépa"
"15","Jamais","Désaccord","D'accord","Désaccord","Non","Oui","Je ne sais pas","Non",NA,"Oui","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Homme","France",20,"Oui","BAC +2","Master of science","Prépa"
"16","Jamais","Neutre","D'accord","Désaccord","Oui","Oui","Udacity","Oui",800,"Oui","Interessant","Inintéressant","Interessant","Interessant","Pas très interessant","Interessant","Pas très interessant","Femme","Méxique",23,"Oui","BAC +6 ou plus","Master of science","Université"
"17","Jamais","D'accord","Neutre","Neutre","Non","Oui","OpenClassrooms","Oui",NA,"Oui","Pas très interessant","Interessant","Interessant","Pas très interessant","Pas très interessant","Interessant","Pas très interessant","Femme","France",19,"Oui","BAC +3","Diplôme ingénieur ","Prépa"
"18","Jamais","Tout à fait en accord","D'accord","D'accord","Non","Oui","Coursera","Oui",5,"Oui","Interessant","Interessant","Interessant","Interessant","Pas très interessant","Interessant","Interessant","Homme","France",20,"Oui","BAC +3","1ère année école ingénieur","Prépa"
"19","Jamais","Tout à fait en accord","Tout à fait en accord","Neutre","Non","Oui","Je ne sais pas","Non",NA,"Oui","Interessant","Interessant","Interessant","Pas très interessant","Interessant","Pas très interessant","Pas très interessant","Homme","France",20,"Oui","BAC +3","FIG","Prépa"
