"","a_suivi","performer_travail_projet","motivation_certificat","trouver_emploi","nbr_certificat","satisfait_gestion_temps","objectifs_atteints","satisfaction","vacances_etude","temps_alloue_cours","mooc_inclu_etude","edt_chargee","plateformes_utilisees","videos_cours","transcription","diapositives_cours","forum_discussion","examens_exercices","accompagnement_pedagogique","aides_financiere","prix","outils_exercice","sciences_donnees","informatique","sciences_physiques","business","arts","langues","sciences_sociales","sexe","pays","age","est_etudiant","niveau_actuel","formation","background"
"1","Oui, je l'ai suivi mais je ne l'ai pas terminé","D'accord","D'accord","D'accord",1,"D'accord","D'accord",9,"Les deux",13,"Oui","Oui","FUN","Bien","Bien","Bien","Bien","Bien","Bien","Oui",20,"Oui","Interessant","Pas très interessant","Interessant","Pas très interessant","Interessant","Interessant","Pas très interessant","Homme","France",22,"Oui","BAC +3","FIG","Université"
"2","Oui, je l'ai suivi mais je ne l'ai pas terminé","Tout à fait d'acord","Désaccord","Neutre",1,"Désaccord","Tout à fait en désaccord",3,"Les deux",9,"Oui","Oui","Coursera","Bien","Moyen","Très bien","Très mauvais","Bien","Bien","Oui",0,"Oui","Interessant","Interessant","Pas très interessant","Pas très interessant","Interessant","Inintéressant","Inintéressant","Homme","Maroc",22,"Oui","BAC +5","FIG","Prépa"
"3","Oui, je l'ai suivi mais je ne l'ai pas terminé","D'accord","Tout à fait d'acord","Tout à fait d'acord",1,"Désaccord","Neutre",7,"Les deux",12,"Oui","Non","FUN","Bien","Bien","Bien","Bien","Bien","Bien","Non",50,"Non","Interessant","Interessant","Pas très interessant","Interessant","Inintéressant","Inintéressant","Inintéressant","Femme","Tunisie",24,"Oui","BAC +5","FIG","Prépa"
"4","Oui, je l'ai suivi mais je ne l'ai pas terminé","Neutre","Désaccord","Désaccord",1,"Désaccord","Neutre",4,"Vos études",3,"Oui","Non","FUN","Moyen","Bien","Très bien","Moyen","Bien","Très mauvais","Non",1,"Non","Interessant","Interessant","Pas très interessant","Pas très interessant","Inintéressant","Inintéressant","Pas très interessant","Homme","France",22,"Oui","BAC +4","FIG","Prépa"
"5","Oui, je l'ai suivi mais je ne l'ai pas terminé","Tout à fait d'acord","D'accord","Neutre",1,"Tout à fait d'accord","D'accord",5,"Les vacances",13,"Oui","Non","Coursera","Très bien","Bien","Très bien","Bien","Très bien","Bien","Non",50,"Non","Interessant","Pas très interessant","Inintéressant","Pas très interessant","Interessant","Pas très interessant","Inintéressant","Femme","Tunisie",23,"Oui","BAC +5","FIG","Prépa"
"6","Oui, je l'ai suivi mais je ne l'ai pas terminé","D'accord","D'accord","Neutre",1,"Désaccord","Neutre",6,"Vos études",5,"Oui","Oui","FUN","Bien","Moyen","Moyen","Mauvais","Moyen","Mauvais","Non",10,"Non","Interessant","Interessant","Pas très interessant","Interessant","Pas très interessant","Interessant","Pas très interessant","Femme","Maroc",22,"Oui","BAC +5","FIG","Prépa"
"7","Oui, je l'ai suivi mais je ne l'ai pas terminé","D'accord","Tout à fait d'acord","D'accord",1,"D'accord","Désaccord",8,"Vos études",11,"Oui","Non","Edx","Très bien","Très bien","Très bien","Bien","Bien","Très bien","Non",10,"Oui","Interessant","Interessant","Pas très interessant","Interessant","Pas très interessant","Pas très interessant","Pas très interessant","Homme","Maroc",21,"Oui","BAC +4","FIG","Prépa"
"8","Oui, je l'ai suivi mais je ne l'ai pas terminé","Tout à fait d'acord","Tout à fait en désaccord","Tout à fait en désaccord",1,"Neutre","Désaccord",7,"Vos études",NA,"Oui","Oui","OpenClassrooms","Très bien","Très bien","Très bien","Bien","Moyen","Moyen","Non",NA,"Oui","Interessant","Interessant","Interessant","Inintéressant","Interessant","Inintéressant","Pas très interessant","Homme","France",21,"Oui","BAC +4","FIG","Prépa"
"9","Oui, je l'ai suivi mais je ne l'ai pas terminé","D'accord","Neutre","Désaccord",1,"Désaccord","Neutre",6,"Les deux",12,"Non","Oui","Coursera","Très bien","Très bien","Très bien","Bien","Très bien","Très bien","Oui",30,"Oui","Interessant","Interessant","Pas très interessant","Pas très interessant","Inintéressant","Pas très interessant","Inintéressant","Homme","Maroc",21,"Oui","BAC +4","FIG","Prépa"
"10","Oui, je l'ai suivi mais je ne l'ai pas terminé","Neutre","D'accord","Désaccord",1,"Désaccord","Tout à fait en désaccord",3,"Vos études",5,"Oui","Oui","FUN","Bien","Moyen","Moyen","Bien","Bien","Moyen","Non",10,"Non","Pas très interessant","Inintéressant","Pas très interessant","Interessant","Interessant","Interessant","Interessant","Femme","France",21,"Oui","BAC +2","FIG","Prépa"
"11","Oui, je l'ai suivi mais je ne l'ai pas terminé","Neutre","Désaccord","Tout à fait en désaccord",1,"Désaccord","Désaccord",4,"Vos études",9,"Oui","Oui","FUN","Bien","Bien","Bien","Bien","Bien","Moyen","Non",0,"Oui","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Pas très interessant","Femme","France",19,"Oui","BAC +3","FIP","Prépa"
"12","Oui, je l'ai suivi mais je ne l'ai pas terminé","D'accord","Désaccord","Tout à fait en désaccord",1,"D'accord","Neutre",2,"Les deux",9,"Oui","Oui","FUN","Bien","Moyen","Mauvais","Moyen","Bien","Mauvais","Non",0,"Oui","Pas très interessant","Pas très interessant","Pas très interessant","Inintéressant","Pas très interessant","Pas très interessant","Pas très interessant","Homme","France",21,"Oui","BAC +3","FIG","Prépa"
"13","Oui, je l'ai suivi mais je ne l'ai pas terminé","Tout à fait d'acord","Tout à fait en désaccord","Neutre",1,"Désaccord","Désaccord",7,"Les deux",9,"Oui","Oui","Coursera","Très bien","Très bien","Moyen","Moyen","Moyen","Moyen","Non",10,"Oui","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Femme","France",21,"Oui","BAC +4","FIG","Prépa"
"14","Oui, je l'ai suivi mais je ne l'ai pas terminé","D'accord","Tout à fait d'acord","Tout à fait d'acord",0,"Neutre","Neutre",6,"Les deux",15,"Oui","Oui","Udemy","Très bien","Très bien","Bien","Très bien","Très bien","Bien","Non",20,"Oui","Interessant","Interessant","Pas très interessant","Interessant","Inintéressant","Inintéressant","Inintéressant","Homme","Tunisie",23,"Oui","BAC +5","FIP","Prépa"
"15","Oui, je l'ai suivi mais je ne l'ai pas terminé","D'accord","D'accord","D'accord",0,"Neutre","Neutre",5,"Les vacances",1,"Non","Oui","Coursera","Bien","Bien","Moyen","Moyen","Bien","Bien","Non",20,"Oui","Inintéressant","Inintéressant","Inintéressant","Interessant","Pas très interessant","Pas très interessant","Pas très interessant","Homme","Tunisie",20,"Oui",NA,"FIG","Université"
"16","Oui, je l'ai suivi mais je ne l'ai pas terminé","Neutre","Tout à fait en désaccord","Tout à fait en désaccord",0,"Désaccord","D'accord",5,"Les deux",12,"Oui","Oui","FUN","Bien","Moyen","Moyen","Moyen","Bien","Mauvais","Non",0,"Oui","Pas très interessant","Pas très interessant","Pas très interessant","Pas très interessant","Inintéressant","Inintéressant","Interessant","Femme","France",20,"Oui","BAC +2","FIG","Prépa"
"17","Oui, je l'ai suivi mais je ne l'ai pas terminé","Désaccord","Tout à fait en désaccord","Désaccord",0,"Désaccord","Désaccord",3,"Les deux",NA,"Oui","Oui","FUN","Très bien","Très bien","Moyen","Moyen","Moyen","Très mauvais","Non",NA,"Non","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Femme","France",19,"Oui","BAC +3","FIG","Prépa"
"18","Oui, je l'ai suivi mais je ne l'ai pas terminé","D'accord","Tout à fait d'acord","Neutre",0,"Neutre","Neutre",7,"Les deux",18,"Oui","Oui","OpenClassrooms, FUN","Bien","Bien","Moyen","Très bien","Bien","Bien","Non",15,"Oui","Interessant","Interessant","Interessant","Pas très interessant","Inintéressant","Inintéressant","Inintéressant","Homme","France",20,"Oui","BAC +3","FIG","Prépa"
"19","Oui, je l'ai suivi mais je ne l'ai pas terminé","Tout à fait d'acord","Neutre","Tout à fait d'acord",0,"Tout à fait d'accord","Neutre",10,"Les deux",NA,"Oui","Non","Coursera","Très bien","Très bien","Très bien","Très bien","Très bien","Très bien","Non",NA,"Oui","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Homme","Séngal",24,"Oui","BAC +5","FIG","Université"
