"","a_suivi","performer_travail_projet","motivation_certificat","trouver_emploi","nbr_certificat","satisfait_gestion_temps","objectifs_atteints","satisfaction","vacances_etude","temps_alloue_cours","mooc_inclu_etude","edt_chargee","plateformes_utilisees","videos_cours","transcription","diapositives_cours","forum_discussion","examens_exercices","accompagnement_pedagogique","aides_financiere","prix","outils_exercice","sciences_donnees","informatique","sciences_physiques","business","arts","langues","sciences_sociales","sexe","pays","age","est_etudiant","niveau_actuel","formation","background"
"1","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","Tout à fait d'acord","Tout à fait d'acord","2","Tout à fait d'accord","Tout à fait d'accord",10,"Les deux","2","Non","Non","Coursera","Très bien","Très bien","Très bien","Très bien","Très bien","Très bien","Oui","10","Oui","Interessant","Interessant","Pas très interessant","Pas très interessant","Pas très interessant","Pas très interessant","Pas très interessant","Homme","Maroc",22,"Oui","BAC +5","FIG","Prépa"
"2","Oui, je l'ai suivi et j'ai réussi","D'accord","Désaccord","Tout à fait en désaccord","1","Neutre","D'accord",6,"Vos études","1","Oui","Oui","OpenClassrooms","Moyen","Bien","Bien","Très bien","Moyen","Moyen","Non","1","Non","Interessant","Interessant","Interessant","Pas très interessant","Inintéressant","Inintéressant","Inintéressant","Homme","France",22,"Oui","BAC +5","FIG","Prépa"
"3","Oui, je l'ai suivi et j'ai réussi","Tout à fait en désaccord","Tout à fait en désaccord","Tout à fait en désaccord","1","Tout à fait d'accord","Neutre",1,"Vos études","2","Oui","Oui","OpenClassrooms","Bien","Bien","Moyen","Moyen","Mauvais","Bien","Non","1","Oui","Interessant","Pas très interessant","Interessant","Inintéressant","Inintéressant","Inintéressant","Inintéressant","Homme","France",20,"Oui","BAC +3","FIG","Prépa"
"4","Oui, je l'ai suivi et j'ai réussi","Neutre","D'accord","Désaccord","1","Tout à fait d'accord","D'accord",7,"Vos études","3","Oui","Oui","FUN","Moyen","Moyen","Bien","Moyen","Bien","Mauvais","Non","1","Oui","Pas très interessant","Interessant","Interessant","Interessant","Pas très interessant","Interessant","Interessant","Femme","France",22,"Oui","BAC +4","FIG","Prépa"
"5","Oui, je l'ai suivi et j'ai réussi","D'accord","D'accord","D'accord","1","D'accord","D'accord",6,"Vos études","10","Oui","Non","FUN","Très bien","Très bien","Bien","Bien","Moyen","Bien","Non","100","Oui","Interessant","Interessant","Interessant","Inintéressant","Inintéressant","Inintéressant","Inintéressant","Homme","France",22,"Oui","BAC +5","FIG","Prépa"
"6","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","Désaccord","Désaccord","3","Tout à fait d'accord","Tout à fait d'accord",7,"Les deux","5","Oui","Non","OpenClassrooms","Très bien","Bien","Très bien","Très bien","Bien","Bien","Non","50","Non","Interessant","Interessant","Pas très interessant","Inintéressant","Pas très interessant","Pas très interessant","Inintéressant","Homme","France",23,"Oui","BAC +4","FIG","Prépa"
"7","Oui, je l'ai suivi et j'ai réussi","D'accord","Tout à fait d'acord","Désaccord","1","Neutre","D'accord",6,"Les deux","1","Non","Oui","OpenClassrooms","Bien","Très bien","Bien","Bien","Bien","Moyen","Non","30","Oui","Interessant","Interessant","Pas très interessant","Inintéressant","Pas très interessant","Pas très interessant","Inintéressant","Homme","France",23,"Oui","BAC +5","FIG","Prépa"
"8","Oui, je l'ai suivi et j'ai réussi","D'accord","D'accord","Neutre","1","Neutre","Neutre",8,"Vos études","6","Oui","Oui","Edx","Bien","Très bien","Bien","Bien","Bien","Bien","Oui","60","Oui","Pas très interessant","Interessant","Pas très interessant","Interessant","Inintéressant","Interessant","Pas très interessant","Homme","Autre",26,"Oui","BAC +4","Master of science","Autre école"
"9","Oui, je l'ai suivi et j'ai réussi","D'accord","Désaccord","Neutre","1","Neutre","Neutre",4,"Vos études","2","Oui","Non","Datacamp","Bien","Moyen","Bien","Bien","Bien","Bien","Non","10","Non","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Femme","France",24,"Oui","BAC +5","FIG","Prépa"
"10","Oui, je l'ai suivi et j'ai réussi","D'accord","Désaccord","Tout à fait en désaccord","1","Tout à fait en désaccord","Neutre",7,"Vos études","4","Oui","Oui","FUN","Bien","Moyen","Moyen","Mauvais","Bien","Moyen","Non","5","Oui","Interessant","Interessant","Pas très interessant","Pas très interessant","Inintéressant","Inintéressant","Inintéressant","Femme","France",21,"Oui","BAC +3","FIG","Prépa"
"11","Oui, je l'ai suivi et j'ai réussi","D'accord","Désaccord","Neutre","1","Tout à fait d'accord","D'accord",8,"Vos études","2","Oui","Non","FUN","Bien","Bien","Bien","Moyen","Bien","Moyen","Non","0.0001","Oui","Interessant","Interessant","Interessant","Pas très interessant","Inintéressant","Interessant","Pas très interessant","Femme","France",20,"Oui","BAC +4","FIG","Prépa"
"12","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","D'accord","D'accord","10","Tout à fait d'accord","D'accord",9,"Les deux",NA,"Oui","Oui","OpenClassrooms","Très bien","Bien","Bien","Bien","Très bien","Bien","Oui","5","Oui","Interessant","Interessant","Inintéressant","Interessant","Inintéressant","Inintéressant","Inintéressant","Homme","Côte d'ivoire",23,"Oui","BAC +4","FIG","Prépa"
"13","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","D'accord","D'accord","7","Tout à fait d'accord","D'accord",7,"Les deux","8","Non","Oui","Coursera","Très bien","Bien","Bien","Bien","Bien","Moyen","Oui",NA,"Oui","Interessant","Interessant","Inintéressant","Inintéressant","Inintéressant","Inintéressant","Inintéressant","Homme","Maroc",21,"Oui","BAC +5","FIG","Prépa"
"14","Oui, je l'ai suivi et j'ai réussi","Neutre","D'accord","Neutre","1","D'accord","Tout à fait d'accord",8,"Vos études","3","Oui","Non","FUN","Bien","Mauvais","Moyen","Moyen","Très bien","Moyen","Non","20","Oui","Inintéressant","Interessant","Interessant","Pas très interessant","Interessant","Interessant","Interessant","Homme","Liban",22,"Oui","BAC +5","FIG","Prépa"
"15","Oui, je l'ai suivi et j'ai réussi","Désaccord","Désaccord","Désaccord","1","Désaccord","D'accord",1,"Vos études","4","Oui","Non","FUN","Mauvais","Mauvais","Mauvais","Mauvais","Bien","Mauvais","Non","0.0000000000001","Oui","Inintéressant","Interessant","Pas très interessant","Inintéressant","Inintéressant","Inintéressant","Inintéressant","Homme","France",22,"Oui","BAC +5","FIG","Prépa"
"16","Oui, je l'ai suivi et j'ai réussi","Neutre","D'accord","Neutre","6","Neutre","Désaccord",4,"Les deux","5","Oui","Non","FUN","Moyen","Mauvais","Bien","Moyen","Bien","Moyen","Non","20","Oui","Interessant","Interessant","Pas très interessant","Pas très interessant","Interessant","Inintéressant","Interessant","Homme","Tunisie",21,"Oui","BAC +4","FIG","Prépa"
"17","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","D'accord","Désaccord","21","Tout à fait d'accord","Tout à fait d'accord",10,"Les deux","10","Non","Oui","Udacity","Très bien","Très bien","Bien","Bien","Bien","Très bien","Non","10","Oui","Interessant","Pas très interessant","Pas très interessant","Pas très interessant","Pas très interessant","Pas très interessant","Inintéressant","Femme","Vietnam",50,"Oui","BAC +2","Master de recherche","Université"
